experiment,tool,case,threads,iterations,size,repeats,expected_blocks,expected_bytes,detected_blocks,detected_bytes,byte_delta,match_rate,stack_groups,benchmark_stack_groups,benchmark_stack_hit,symbolized,has_stack,unknown_frames,runtime_ms,notes
followup_20260724_definite_size64_t2_i10000,lsan,definite_leak,2,10000,64,3,20000,1280000,20000.0,1280000.0,0.0,100.0%,1.0,1.0,100.0%,100.0%,100.0%,0.0,1089.0,
followup_20260724_definite_size64_t2_i10000,valgrind,definite_leak,2,10000,64,3,20000,1280000,20000.0,1280000.0,0.0,100.0%,1.0,1.0,100.0%,100.0%,100.0%,0.0,2570.3,
priority_20260721_bcc_end_window_attached_p12000,bcc_memleak,growth_leak,2,2000,64,3,4000,256000,4000.0,256000.0,0.0,100.0%,5.0,1.0,100.0%,100.0%,100.0%,1.0,14051.3,coarse benchmark stack attribution; ignored non-benchmark stacks: 4 stacks/151004128 bytes
priority_20260721_bcc_end_window_attached_p7000,bcc_memleak,growth_leak,2,2000,64,3,4000,256000,4000.0,256000.0,0.0,100.0%,4.7,1.0,100.0%,100.0%,100.0%,1.0,9162.7,coarse benchmark stack attribution; ignored non-benchmark stacks: 3 stacks/16786400 bytes; coarse benchmark stack attribution; ignored non-benchmark stacks: 4 stacks/151004128 bytes
priority_20260721_bcc_end_window_attached_p9000,bcc_memleak,growth_leak,2,2000,64,3,4000,256000,4000.0,256000.0,0.0,100.0%,5.3,1.0,100.0%,100.0%,100.0%,1.0,11049.7,coarse benchmark stack attribution; ignored non-benchmark stacks: 4 stacks/151004128 bytes; coarse benchmark stack attribution; ignored non-benchmark stacks: 5 stacks/218112992 bytes
priority_20260721_bcc_end_window_p12000,bcc_memleak,growth_leak,2,2000,64,3,4000,256000,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%,0.0%,0.0,12039.3,
priority_20260721_bcc_end_window_p7000,bcc_memleak,growth_leak,2,2000,64,3,4000,256000,0.0,0.0,0.0,0.0%,1.0,0.0,0.0%,0.0%,100.0%,6.0,9141.7,unattributed stacks: 1 stacks/4096 bytes
priority_20260721_bcc_end_window_p9000,bcc_memleak,growth_leak,2,2000,64,3,4000,256000,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0%,0.0%,0.0,9115.0,
priority_20260721_bcc_growth_t1,bcc_memleak,growth_leak,1,2000,64,3,2000,128000,1443.3,92373.3,-35626.7,0.0%,2.0,1.0,100.0%,100.0%,100.0%,1.0,17054.7,coarse benchmark stack attribution; ignored non-benchmark stacks: 1 stacks/384 bytes
priority_20260721_bcc_growth_t2,bcc_memleak,growth_leak,2,2000,64,3,4000,256000,2886.3,184725.3,-71274.7,0.0%,2.0,1.0,100.0%,100.0%,100.0%,1.0,17057.3,coarse benchmark stack attribution; ignored non-benchmark stacks: 1 stacks/384 bytes
priority_20260721_bcc_growth_t4,bcc_memleak,growth_leak,4,2000,64,3,8000,512000,5327.3,340949.3,-171050.7,0.0%,2.0,1.0,100.0%,100.0%,100.0%,1.0,17057.0,coarse benchmark stack attribution; ignored non-benchmark stacks: 1 stacks/384 bytes
priority_20260721_bcc_growth_t8,bcc_memleak,growth_leak,8,2000,64,3,16000,1024000,11320.0,724480.0,-299520.0,0.0%,2.0,1.0,100.0%,100.0%,100.0%,1.0,17063.7,coarse benchmark stack attribution; ignored non-benchmark stacks: 1 stacks/384 bytes
priority_20260721_bcc_i1_c12,bcc_memleak,growth_leak,2,2000,64,3,4000,256000,2886.7,184746.7,-71253.3,0.0%,2.0,1.0,100.0%,100.0%,100.0%,1.0,20057.0,coarse benchmark stack attribution; ignored non-benchmark stacks: 1 stacks/384 bytes
priority_20260721_bcc_i1_c6,bcc_memleak,growth_leak,2,2000,64,3,4000,256000,2664.0,170496.0,-85504.0,0.0%,2.0,1.0,100.0%,100.0%,100.0%,1.0,14054.7,coarse benchmark stack attribution; ignored non-benchmark stacks: 1 stacks/384 bytes
