stage,stage_name,tracking_mode,pid_tid_cache,threads,size,duration,baseline_ops,with_hook_ops,overhead_pct,segment,count,total_cycles,avg_cycles,total_ns,avg_ns,profile_log,consumer_log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,record_fill,637706,65522714,102.75,27302086.78,42.81,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,metadata_clock,638346,136590738,213.98,56914800.30,89.16,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,metadata_pid,638347,1998202464,3130.28,832613512.98,1304.33,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,metadata_tid,638346,1973818988,3092.08,822453375.57,1288.41,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,thread_name,640,2807936,4387.40,1170014.30,1828.15,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,ring_index_check,638346,174771076,273.79,72823831.51,114.08,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,shm_record_copy,638346,90660500,142.02,37776531.03,59.18,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,atomic_index_update,638346,166565004,260.93,69404515.12,108.73,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
5,record_write,global,0,4,32,5,14183443.40,63769.00,99.5504,connection,318856,41225670,129.29,17177963.97,53.87,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage5_record_write_global_cache0_t4_s32_d5.consumer.log
6,notify,global,0,4,32,5,14183443.40,61624.80,99.5655,hook_entry,1232542,159033848,129.03,66266900.21,53.76,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.profile.csv,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/hotpath_profile_stage6_notify_global_cache0_t4_s32_d5.consumer.log
