row_kind,backend,mode,mode_name,tracking_mode,pid_tid_cache,alloc_pattern,repeat_index,threads,size,duration,flush_threshold,sample_interval,filter_size,blocked,baseline_ops,with_probe_ops,overhead_pct,records_or_events,malloc_events,calloc_events,realloc_events,free_events,alloc_records,free_records,unmatched_free,ringbuf_drops,observed_events,logs
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,malloc_only,2,1,32,5,20,1,-1,0,15868672.20,118821.40,99.2512,1188222,594112,1,0,594114,594113,594109,3,0,1188222,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_malloc_only_r2_t1_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,12835339.40,0.0000,0,0,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,60867.00,99.5258,609280,304340,0,0,304328,304340,304328,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_malloc_only_r2_t4_s32_d5.consumer.log
ld_preload,ld_preload,ld_preload_stage6_optimized,stage6_notify,sharded,1,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,283459.20,97.7916,2837441,1417306,0,0,1417300,1417306,1417300,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_optimized_sharded_cache1_malloc_only_r2_t4_s32_d5.consumer.log
ebpf_uprobe,libbpf,libbpf_count_only,libbpf_count_only,none,n/a,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,548340.60,95.7279,5483443,2741711,4,0,2741728,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_count_only_malloc_only_r2_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_sample_filter,libbpf_sample_filter,none,n/a,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,525984.60,95.9021,2629935,2629931,4,0,2629948,0,0,0,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_sample_filter_malloc_only_r2_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_tracking,libbpf_tracking,none,n/a,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,517077.80,95.9715,5170795,2585397,4,0,2585414,2585401,2585394,12,0,0,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_tracking_malloc_only_r2_t4_s32_d5.loader.log;
ebpf_uprobe,libbpf,libbpf_ring_output,libbpf_ring_output,none,n/a,malloc_only,2,4,32,5,20,1,-1,0,12835339.40,406236.80,96.8350,4062385,2031192,4,0,2031209,2031196,2031189,12,0,4062385,/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_libbpf_ring_output_malloc_only_r2_t4_s32_d5.loader.log;
baseline,none,baseline_no_hook,baseline_no_hook,none,n/a,mixed3,2,1,32,5,20,1,-1,0,12011266.40,12011266.40,0.0000,0,0,0,0,0,0,0,0,0,0,;
ld_preload,ld_preload,ld_preload_stage6_default,stage6_notify,global,0,mixed3,2,1,32,5,20,1,-1,0,12011266.40,225540.60,98.1223,2633941,1503608,0,0,1127703,1503608,1127703,0,0,0,;/mnt/hdd/users/cychi/research/native_hook_planB_v1/linux_native_hook_v1/results/logs/libbpf_compare_ld_preload_stage6_default_global_cache0_mixed3_r2_t1_s32_d5.consumer.log
